nces_school_id,state_school_id,nces_district_id,state_district_id,low_grade,high_grade,school_name,district,county_name,street_address,city,state,zip,zip_4-digit,phone,locale_code,locale,charter,students,teachers,student_teacher_ratio,free_lunch,reduced_lunch,directly_certified,type,status
483510012675,TX-043910-043910008,4835100,TX-043910,9,12,ACADEMY H S,PLANO ISD,Collin County,1701 ALMA RD,PLANO,TX,75075,,(972)905-8100,11,City Large,No,298.0,27.73,10.75,42.0,16.0,-,Regular,Open
480789000117,TX-043901-043901001,4807890,TX-043901,9,12,ALLEN H S,ALLEN ISD,Collin County,300 RIVERCREST BLVD,ALLEN,TX,75002,3007.0,(972)727-0400,21,Suburban Large,No,5273.0,275.85,19.12,,,,Regular,Open
480834000207,TX-043902-043902001,4808340,TX-043902,9,12,ANNA H S,ANNA ISD,Collin County,501 S SHERLEY AVE,ANNA,TX,75409,128.0,(972)924-1100,41,Rural Fringe,No,1487.0,89.04,16.7,537.0,163.0,-,Regular,Open
481059000531,TX-043917-043917001,4810590,TX-043917,9,12,BLUE RIDGE H S,BLUE RIDGE ISD,Collin County,11020 CR 504,BLUE RIDGE,TX,75424,2505.0,(972)752-5554,42,Rural Distant,No,296.0,26.37,11.22,137.0,31.0,-,Regular,Open
481329000830,TX-043903-043903001,4813290,TX-043903,9,12,CELINA H S,CELINA ISD,Collin County,3455 N PRESTON RD,CELINA,TX,75009,,(469)742-9102,41,Rural Fringe,No,1176.0,76.71,15.33,202.0,33.0,-,Regular,Open
482001009160,TX-043905-043905002,4820010,TX-043905,9,12,CENTENNIAL H S,FRISCO ISD,Collin County,6901 COIT RD,FRISCO,TX,75035,4912.0,(469)633-5600,21,Suburban Large,No,2035.0,131.68,15.45,170.0,29.0,-,Regular,Open
481485000987,TX-043918-043918001,4814850,TX-043918,9,12,COMMUNITY H S,COMMUNITY ISD,Collin County,P O BOX 400,NEVADA,TX,75173,400.0,(972)843-6500,41,Rural Fringe,No,1182.0,70.64,16.73,564.0,80.0,-,Regular,Open
482001013915,TX-043905-043905013,4820010,TX-043905,9,12,EMERSON H S,FRISCO ISD,Collin County,6300 COLLIN MCKINNEY PKWY,MCKINNEY,TX,75035,,(469)633-8100,21,Suburban Large,No,1763.0,119.4,14.77,286.0,56.0,-,Regular,Open
481908001777,TX-043904-043904001,4819080,TX-043904,9,12,FARMERSVILLE H S,FARMERSVILLE ISD,Collin County,499 HWY 78 N,FARMERSVILLE,TX,75442,472.0,(972)782-7757,42,Rural Distant,No,680.0,43.13,15.77,330.0,42.0,-,Regular,Open
482001001956,TX-043905-043905001,4820010,TX-043905,9,12,FRISCO H S,FRISCO ISD,Collin County,6401 PARKWOOD BLVD,FRISCO,TX,75034,7239.0,(469)633-5500,21,Suburban Large,No,1999.0,133.47,14.98,416.0,74.0,-,Regular,Open
482001012192,TX-043905-043905007,4820010,TX-043905,9,12,HERITAGE H S,FRISCO ISD,Collin County,14040 ELDORADO PKWY,FRISCO,TX,75035,3401.0,(469)633-5900,21,Suburban Large,No,2117.0,135.38,15.64,290.0,41.0,-,Regular,Open
482001013005,TX-043905-043905009,4820010,TX-043905,9,12,INDEPENDENCE H S,FRISCO ISD,Collin County,10555 INDEPENDENCE PKWY,FRISCO,TX,75035,,(469)633-5400,21,Suburban Large,No,1670.0,111.35,15.0,94.0,15.0,-,Regular,Open
482001013095,TX-043905-043905011,4820010,TX-043905,9,12,LEBANON TRAIL H S,FRISCO ISD,Collin County,5515 OHIO DR,FRISCO,TX,75035,,(469)633-6600,21,Suburban Large,No,2110.0,136.84,15.42,288.0,59.0,-,Regular,Open
482001011166,TX-043905-043905006,4820010,TX-043905,9,12,LIBERTY H S,FRISCO ISD,Collin County,15250 ROLATER RD,FRISCO,TX,75035,,(469)633-5800,21,Suburban Large,No,1730.0,123.19,14.04,167.0,38.0,-,Regular,Open
482838010525,TX-043919-043919001,4828380,TX-043919,9,12,LOVEJOY H S,LOVEJOY ISD,Collin County,2350 ESTATES PKWY,LUCAS,TX,75002,,(469)742-8700,21,Suburban Large,No,1596.0,102.18,15.62,,,,Regular,Open
482985010501,TX-043907-043907007,4829850,TX-043907,9,12,MCKINNEY BOYD H S,MCKINNEY ISD,Collin County,600 LK FOREST DR,MCKINNEY,TX,75070,3211.0,(469)302-3400,21,Suburban Large,No,2550.0,153.14,16.65,463.0,83.0,-,Regular,Open
482985003360,TX-043907-043907002,4829850,TX-043907,9,12,MCKINNEY H S,MCKINNEY ISD,Collin County,1400 W WILSON CREEK PKWY,MCKINNEY,TX,75069,5399.0,(469)302-5700,21,Suburban Large,No,2804.0,172.37,16.27,970.0,156.0,-,Regular,Open
482985008731,TX-043907-043907004,4829850,TX-043907,9,12,MCKINNEY NORTH H S,MCKINNEY ISD,Collin County,2550 WILMETH RD,MCKINNEY,TX,75070,,(469)302-4300,21,Suburban Large,No,2311.0,135.22,17.09,559.0,114.0,-,Regular,Open
483012010505,TX-043908-043908001,4830120,TX-043908,9,12,MELISSA H S,MELISSA ISD,Collin County,3030 MILRANY LN,MELISSA,TX,75454,,(972)837-4216,41,Rural Fringe,No,1762.0,111.69,15.78,,,,Regular,Open
482001013470,TX-043905-043905012,4820010,TX-043905,9,12,MEMORIAL H S,FRISCO ISD,Collin County,12300 FRISCO ST,FRISCO,TX,75035,,(469)633-7300,21,Suburban Large,No,1464.0,112.48,13.02,279.0,42.0,-,Regular,Open
483510005796,TX-043910-043910006,4835100,TX-043910,9,12,PLANO EAST SR H S,PLANO ISD,Collin County,3000 LOS RIOS BLVD,PLANO,TX,75074,3513.0,(469)752-9000,11,City Large,No,3050.0,173.14,17.62,942.0,135.0,-,Regular,Open
483585004059,TX-043911-043911001,4835850,TX-043911,9,12,PRINCETON H S,PRINCETON ISD,Collin County,1000 E PRINCETON DR,PRINCETON,TX,75407,1002.0,(469)952-5400,31,Town Fringe,No,1741.0,103.27,16.86,825.0,145.0,-,Regular,Open
